key,context,note,mooring,fering
freshness.updated,aktualisiert {time},,aktualisiird {time},
wind.0,flau,unverified,loun,
wind.1,leicht,unverified,liis,
wind.2,steif,unverified,stif,
wind.3,scharf,unverified,scharp,
wind.4,böig,unverified,brüsi,
wind.5,stürmisch,unverified,stormi,
wind.6,Orkan,unverified,orkel,
compass.n,der Norden,,dåt norden,
compass.s,der Süden,,dåt sööden,
compass.e,der Osten,,dåt ååsten,
compass.w,der Westen,,dåt weesten,
compass.sw,der Südwesten,,dåt söödweesten,
headline.wind_from_sw,Der Wind weht aus Südwest.,,E win wait üt söödweest.,
relday.today,heute,,diling,
relday.tomorrow,morgen,,mårling,
relday.night,nachts,,nåchtling,
relday.yesterday_evening,"gestern Abend, abends",Komma steht absichtlich im context-Feld,änjörnse,
months.native.1,Januar (germanische Reihe),,di ismoune,
months.native.2,Februar (germanische Reihe),,di biikenmoune,
months.intl.1,Januar,Schreibkonflikt janewoore/januar offen,janewoore,
months.intl.2,Februar,,fääberwoor,
var.humidity,Luftfeuchtigkeit,,luftfuchtihäid,
var.water_temp,Wassertemperatur,,wåådertemperatuur,
water.astronomical,astronomische Tide,,astronoomsche tide,
water.corrected,korrigierte Wasserstandsvorhersage,,korigiird (wååderpäägel)forütseeding,
cond.sun,Sonnenschein,,sanschin,
cond.rain,Regen,,rin,
cond.snow,Schnee,,snii,
cond.fog,neblig,,misti,
cond.cold,kalt,,kölj,
cond.wet,nass,,wätj,
cond.windy,windig,,wini,
question.weather_today,Wie ist das Wetter heute?,,hü as dåt wääder diling?,
ui.variety_soelring,Söl'ring (Name der Sylter Varietät),,Söl'ring,
places.list,Söl'ring native: List,kein Override noetig,,
places.hoernum,Söl'ring native: Hörnum,,,
_test.vowels,Testzeile Sondervokale,nicht uebersetzen,å ä ö ü åå ää öö üü,
_test.palatals,Testzeile Palatal-Digraphen,nicht uebersetzen,dj lj nj tj,
_test.alphabet,Testzeile erlaubtes Alphabet,nicht uebersetzen,abcdefghijklmnoprstuw,
_test.clock,Testzeile Uhrzeit mit Punkt (#5: Punkt statt Doppelpunkt),nicht uebersetzen,09.14,
_test.clock_2400,Testzeile Uhrzeit 20.00,nicht uebersetzen,20.00,
_test.thousands,Testzeile Tausenderpunkt,nicht uebersetzen,5.000,
_test.decimal,Testzeile Dezimalkomma,nicht uebersetzen,"1,5",
_test.leading_zero,Testzeile fuehrende Null,nicht uebersetzen,007,
_test.date_like,Testzeile datumsaehnlich,nicht uebersetzen,1.3.,
_test.formula,Testzeile Gleichheitszeichen am Anfang,nicht uebersetzen,=1+1,
_test.plus,Testzeile Pluszeichen am Anfang,nicht uebersetzen,+2,
_test.apostrophe,Testzeile Apostroph,nicht uebersetzen,Söl'ring,
_test.comma_in_cell,Testzeile Komma im Feld,nicht uebersetzen,"loun, liis, stif",
_test.quotes,Testzeile Anfuehrungszeichen,nicht uebersetzen,"""stormi""",
_test.trailing_space,Testzeile Leerzeichen am Ende,nicht uebersetzen,rin ,
_test.placeholder,Testzeile Platzhalter,nicht uebersetzen,{source} {time},
